source_distribution,dimension,max_val,encoding_max_val,beta,rate,distortion,n_inputs,n_outputs,coverage,vocabulary_size,n_outputs_never_received,n_inputs_representable,self_transmission_mean,self_transmission_median,self_transmission_max,n_survive_above_0.5,n_survive_above_0.25,n_survive_above_0.1,most_faithful_belief,n_prototypes,basin_1_belief,basin_1_share,basin_2_belief,basin_2_share,basin_3_belief,basin_3_share
decreasing,3,21,20,9.457,7.302523292896253,0.18927417464467466,9261,8000,0.9,1254,6746,8000,0.057945809965678274,0.0,0.9925390667130523,140,832,1438,"(1, 1, 1)",1246,"(14, 12, 14)",0.006370802289169636,"(12, 14, 14)",0.006370802289169636,"(14, 14, 12)",0.006370802289169636
decreasing,3,21,20,13.215,7.963261585535514,0.1299219320872889,9261,8000,0.9,1799,6201,8000,0.0900387951310121,0.0,0.9994118881020675,274,1298,2182,"(1, 1, 1)",1837,"(15, 15, 14)",0.004103228593024511,"(15, 15, 7)",0.0035633300939423387,"(15, 11, 15)",0.0035633300939423387
decreasing,3,21,20,18.467,8.619932633807853,0.08770720005317406,9261,8000,0.9,2450,5550,8000,0.13717018141971676,8.104727e-318,0.9999825977278941,465,2135,3124,"(1, 1, 1)",2583,"(7, 16, 16)",0.0025915127955944283,"(16, 16, 7)",0.0025915127955944283,"(16, 7, 16)",0.0025915127955944283
decreasing,3,21,20,25.806,9.274258187184259,0.05758431341966824,9261,8000,0.9,3127,4873,8000,0.20518172275773264,0.11009290629316078,0.999999867778183,1004,3189,4063,"(1, 1, 1)",3502,"(17, 17, 7)",0.0016196954972465176,"(17, 7, 17)",0.0016196954972465176,"(7, 17, 17)",0.0016196954972465176
decreasing,3,21,20,36.062,9.917382183514054,0.03638314393427977,9261,8000,0.9,3886,4114,8000,0.300624679180984,0.31142369368251455,0.9999999998513561,1869,4462,5487,"(1, 1, 1)",4803,"(18, 8, 13)",0.001079796998164345,"(18, 13, 8)",0.001079796998164345,"(13, 8, 18)",0.001079796998164345
decreasing,3,21,20,50.394,10.5295849245842,0.021931563819319204,9261,8000,0.9,4513,3487,8000,0.42386488621839247,0.455897987750713,0.9999999999999882,3399,5862,6431,"(1, 1, 1)",5901,"(18, 16, 13)",0.0008638375985314761,"(16, 13, 18)",0.0008638375985314761,"(16, 18, 13)",0.0008638375985314761
decreasing,3,21,20,70.421,11.088535571680167,0.012476668453694943,9261,8000,0.9,4875,3125,8000,0.564942928499664,0.608864662071568,1.0,5233,6865,7348,"(1, 1, 1)",6799,"(14, 17, 19)",0.0006478781988986071,"(14, 19, 17)",0.0006478781988986071,"(19, 14, 17)",0.0006478781988986071
decreasing,3,21,20,98.407,11.57207031177627,0.006608273257257574,9261,8000,0.9,5087,2913,8000,0.7177452285637864,0.7499166738404472,1.0,6832,7798,7894,"(1, 1, 1)",7714,"(16, 19, 19)",0.00043191879926573806,"(17, 19, 19)",0.00043191879926573806,"(18, 19, 19)",0.00043191879926573806
decreasing,3,21,20,137.51500000000001,11.939169192419618,0.003406708134005478,9261,8000,0.9,5132,2868,8000,0.8389681733950319,0.8870813258817679,1.0,7689,7897,7975,"(1, 1, 1)",7864,"(16, 18, 20)",0.00032393909944930353,"(17, 18, 20)",0.00032393909944930353,"(18, 18, 20)",0.00032393909944930353
decreasing,3,21,20,192.166,12.176332400599414,0.0019194982377501455,9261,8000,0.9,5157,2843,8000,0.9168617061285013,0.9638270121947171,1.0,7846,7945,7997,"(1, 1, 1)",7918,"(20, 20, 20)",0.00032393909944930353,"(19, 20, 20)",0.00032393909944930353,"(18, 20, 20)",0.00032393909944930353
decreasing,3,21,20,268.535,12.306295954891203,0.001333929440808566,9261,8000,0.9,5169,2831,8000,0.9594616088812962,0.9929772759598194,1.0,7932,7984,8000,"(1, 1, 1)",7966,"(20, 20, 20)",0.00032393909944930353,"(19, 20, 20)",0.00032393909944930353,"(18, 20, 20)",0.00032393909944930353
decreasing,3,21,20,375.254,12.3693425329873,0.0011301509521735706,9261,8000,0.9,5174,2826,8000,0.9811801007226387,0.9992625858781269,1.0,7981,8000,8000,"(1, 1, 1)",7999,"(20, 20, 20)",0.00032393909944930353,"(6, 14, 20)",0.00032393909944930353,"(4, 13, 20)",0.00032393909944930353
decreasing,3,21,20,524.385,12.39788244641479,0.001064051562895348,9261,8000,0.9,5175,2825,8000,0.9920399734009162,0.9999659312815783,1.0,8000,8000,8000,"(1, 1, 1)",8000,"(6, 14, 20)",0.00032393909944930353,"(4, 13, 20)",0.00032393909944930353,"(5, 13, 20)",0.00032393909944930353
decreasing,3,21,20,732.783,12.410228485638898,0.0010435649442073695,9261,8000,0.9,5174,2826,8000,0.997153097020632,0.999999498781647,1.0,8000,8000,8000,"(1, 1, 1)",8000,"(6, 14, 20)",0.00032393909944930353,"(4, 13, 20)",0.00032393909944930353,"(5, 13, 20)",0.00032393909944930353
decreasing,3,21,20,1024.0,12.415330374513212,0.0010375001823458997,9261,8000,0.9,5173,2827,8000,0.9992093297247459,0.9999999984107052,1.0,8000,8000,8000,"(1, 1, 1)",8000,"(6, 14, 20)",0.00032393909944930353,"(4, 13, 20)",0.00032393909944930353,"(5, 13, 20)",0.00032393909944930353
uniform,3,21,20,0.08700000000000001,1.6129245128324532e-13,11.167600255764903,9261,8000,0.9,1,7999,8000,0.00012500000000005484,0.0,0.9999999999553343,1,1,1,"(4, 4, 4)",1,"(4, 4, 4)",1.0,,,,
uniform,3,21,20,0.122,4.361581043116298e-13,11.167600255756303,9261,8000,0.9,1,7999,8000,0.00012500000000005942,0.0,0.9999999999885144,1,1,1,"(4, 4, 4)",1,"(4, 4, 4)",1.0,,,,
uniform,3,21,20,0.062,2.443454914153158e-11,11.167600258145635,9261,8000,0.9,1,7999,8000,0.00012500000001166778,0.0,0.9999999864697903,1,1,1,"(4, 4, 4)",1,"(4, 4, 4)",1.0,,,,
uniform,3,21,20,0.171,0.12395843352298569,10.41675257728478,9261,8000,0.9,1,7999,8000,0.00013883711984030594,0.0,0.9408475392697906,1,1,1,"(4, 4, 4)",1,"(4, 4, 4)",1.0,,,,
uniform,3,21,20,0.23800000000000002,0.8045613334584265,6.9980952963244585,9261,8000,0.9,6,7994,8000,0.0002780200673663974,0.0,0.7893168929034392,1,1,10,"(5, 5, 5)",7,"(5, 5, 5)",0.7512147716229349,"(7, 7, 2)",0.07493791167260555,"(2, 7, 7)",0.07493791167260555
uniform,3,21,20,0.333,1.37960791021881,4.917369161028162,9261,8000,0.9,7,7993,8000,0.0005267306056177243,0.0,0.688251294113591,4,7,7,"(7, 7, 2)",7,"(7, 7, 7)",0.42921930677032716,"(7, 7, 2)",0.16434510312061332,"(7, 2, 7)",0.16423712342079688
uniform,3,21,20,0.465,1.916481924960507,3.5603010750541184,9261,8000,0.9,19,7981,8000,0.0009025001616802189,0.0,0.7182807670691504,4,13,22,"(9, 2, 9)",19,"(8, 8, 8)",0.41950113378684806,"(9, 9, 2)",0.13616240146852393,"(9, 2, 9)",0.13616240146852393
uniform,3,21,20,0.65,2.4794417237441344,2.5339677614833906,9261,8000,0.9,19,7981,8000,0.001567378070740211,0.0,0.7534417839315052,10,19,28,"(9, 9, 9)",19,"(9, 9, 9)",0.20829284094590217,"(10, 10, 5)",0.10344455242414426,"(10, 5, 10)",0.10344455242414426
uniform,3,21,20,0.909,3.03046675255305,1.8157463473073268,9261,8000,0.9,54,7946,8000,0.0027331790589224083,0.0,0.5925443221228045,3,43,73,"(11, 11, 2)",67,"(11, 11, 4)",0.06338408379224705,"(11, 4, 11)",0.06338408379224705,"(4, 11, 11)",0.06338408379224705
uniform,3,21,20,1.27,3.572198710051056,1.3089867579404644,9261,8000,0.9,80,7920,8000,0.00440545850075549,0.0,0.9981756012008766,7,82,103,"(1, 1, 1)",88,"(12, 8, 12)",0.05096641831335709,"(12, 12, 8)",0.05096641831335709,"(8, 12, 12)",0.05096641831335709
uniform,3,21,20,1.7750000000000001,4.097939263849469,0.9579806815535462,9261,8000,0.9,137,7863,8000,0.006660729560808637,0.0,0.7739181484364427,13,94,172,"(2, 2, 2)",145,"(13, 9, 13)",0.05668934240362812,"(9, 13, 13)",0.056581362703811686,"(13, 13, 9)",0.05647338300399525
