generation,timestep,channel_beta,rate,distortion,expected_true_probs_surprisal,prop_max_hit
0,0,0.0625,1.3963072167215212e-05,11.167619424429674,0.6931471805599441,0.0
0,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.4055900656311175,0.0
1,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686773862283266,0.0
1,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974330964138408,9.211634184634773e-151
2,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201628899,0.0
2,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295093389,1.5439215279411403e-150
3,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642893,0.0
3,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.97435029510738,1.5439219176108842e-150
4,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.6867932016428915,0.0
4,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107379,1.5439219176111677e-150
5,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642891,0.0
5,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107378,1.5439219176111675e-150
6,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.68679320164289,0.0
6,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107377,1.5439219176111672e-150
7,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642888,0.0
7,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107376,1.5439219176111672e-150
8,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642886,0.0
8,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107374,1.543921917611167e-150
9,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642885,0.0
9,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107373,1.5439219176111666e-150
10,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.6867932016428835,0.0
10,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107372,1.543921917611166e-150
11,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642883,0.0
11,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107372,1.5439219176111658e-150
12,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642882,0.0
12,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107371,1.5439219176111656e-150
13,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642881,0.0
13,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107369,1.5439219176111656e-150
14,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642879,0.0
14,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107367,1.543921917611165e-150
15,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642877,0.0
15,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107366,1.5439219176111647e-150
16,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642876,0.0
16,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.9743502951073655,1.5439219176111645e-150
17,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.6867932016428755,0.0
17,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107365,1.5439219176111645e-150
18,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642875,0.0
18,1,0.0625,1.3963072167215212e-05,11.167619424429674,-5.974350295107365,1.543921917611164e-150
19,0,0.0625,1.3963072167215212e-05,11.167619424429674,-6.686793201642873,0.0
