generation,timestep,channel_beta,rate,distortion,expected_true_probs_surprisal,prop_max_hit
0,0,0.0625,1.3963072167215212e-05,11.167619424429674,0.6931471805599441,0.0
0,1,0.0625,1.3963072167215212e-05,11.167619424429674,0.7520386983881371,0.0
1,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.7298276089251856,0.0
1,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887191518826264,7.585019064520606e-151
2,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.7298280473013448,0.0
2,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914888427,1.4543574414478797e-150
3,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.729828047301666,0.0
3,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914891643,1.4543579130854098e-150
4,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.7298280473016656,0.0
4,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914891638,1.454357913085752e-150
5,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.7298280473016652,0.0
5,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914891636,1.4543579130857514e-150
6,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.729828047301665,0.0
6,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914891632,1.4543579130857514e-150
7,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.7298280473016645,0.0
7,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.788719591489163,1.454357913085751e-150
8,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.729828047301664,0.0
8,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914891625,1.4543579130857504e-150
9,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.7298280473016636,0.0
9,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.788719591489162,1.4543579130857504e-150
10,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.7298280473016634,0.0
10,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914891616,1.4543579130857498e-150
11,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.729828047301663,0.0
11,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914891612,1.4543579130857498e-150
12,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.7298280473016625,0.0
12,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914891607,1.4543579130857493e-150
13,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.7298280473016623,0.0
13,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914891603,1.454357913085749e-150
14,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.7298280473016618,0.0
14,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914891598,1.4543579130857485e-150
15,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.7298280473016614,0.0
15,1,0.0625,1.3963072167215212e-05,11.167619424429674,1.7887195914891594,1.4543579130857485e-150
16,0,0.0625,1.3963072167215212e-05,11.167619424429674,1.729828047301661,0.0
