generation,timestep,channel_beta,rate,distortion,expected_true_probs_surprisal,prop_max_hit
0,0,0.0625,4.948485804139469e-05,11.638802467947515,0.6931471805599441,0.0
0,1,0.0625,4.948485804139469e-05,11.638802467947515,0.9899409166847176,0.0
0,2,0.0625,4.948485804139469e-05,11.638802467947515,1.2001172477589008,0.0
1,0,0.0625,4.948485804139469e-05,11.638802467947515,-0.6794886803042641,0.0
1,1,0.0625,4.948485804139469e-05,11.638802467947515,-0.3826949151860282,0.0
1,2,0.0625,4.948485804139469e-05,11.638802467947515,-0.1263522112735989,1.754314189215753e-147
2,0,0.0625,4.948485804139469e-05,11.638802467947515,-0.6795192974298958,0.0
2,1,0.0625,4.948485804139469e-05,11.638802467947515,-0.38272552270706833,0.0
2,2,0.0625,4.948485804139469e-05,11.638802467947515,-0.12638254071071764,2.9739751358205926e-147
3,0,0.0625,4.948485804139469e-05,11.638802467947515,-0.6795192975616802,0.0
3,1,0.0625,4.948485804139469e-05,11.638802467947515,-0.3827255228388214,0.0
3,2,0.0625,4.948485804139469e-05,11.638802467947515,-0.12638254084128098,2.9739796372425407e-147
4,0,0.0625,4.948485804139469e-05,11.638802467947515,-0.6795192975616807,0.0
4,1,0.0625,4.948485804139469e-05,11.638802467947515,-0.38272552283882194,0.0
4,2,0.0625,4.948485804139469e-05,11.638802467947515,-0.12638254084128148,2.973979637261957e-147
5,0,0.0625,4.948485804139469e-05,11.638802467947515,-0.6795192975616807,0.0
5,1,0.0625,4.948485804139469e-05,11.638802467947515,-0.38272552283882194,0.0
5,2,0.0625,4.948485804139469e-05,11.638802467947515,-0.12638254084128153,2.973979637261957e-147
6,0,0.0625,4.948485804139469e-05,11.638802467947515,-0.6795192975616807,0.0
6,1,0.0625,4.948485804139469e-05,11.638802467947515,-0.38272552283882194,0.0
6,2,0.0625,4.948485804139469e-05,11.638802467947515,-0.12638254084128153,2.973979637261956e-147
7,0,0.0625,4.948485804139469e-05,11.638802467947515,-0.6795192975616807,0.0
7,1,0.0625,4.948485804139469e-05,11.638802467947515,-0.38272552283882194,0.0
7,2,0.0625,4.948485804139469e-05,11.638802467947515,-0.12638254084128153,2.973979637261956e-147
8,0,0.0625,4.948485804139469e-05,11.638802467947515,-0.6795192975616807,0.0
8,1,0.0625,4.948485804139469e-05,11.638802467947515,-0.38272552283882194,0.0
8,2,0.0625,4.948485804139469e-05,11.638802467947515,-0.12638254084128153,2.973979637261956e-147
9,0,0.0625,4.948485804139469e-05,11.638802467947515,-0.6795192975616807,0.0
9,1,0.0625,4.948485804139469e-05,11.638802467947515,-0.38272552283882194,0.0
9,2,0.0625,4.948485804139469e-05,11.638802467947515,-0.12638254084128153,2.973979637261956e-147
0,0,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,0.6931471805599441,0.0
0,1,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,0.9899409166847176,0.0
0,2,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,1.2001172477589008,0.0
1,0,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.6791136260924948,0.0
1,1,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.38231988174416953,0.0
1,2,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.12598051370460028,1.8777242304848803e-178
2,0,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.6791186570885981,0.0
2,1,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.3823249078831369,0.0
2,2,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.12598549175826984,3.713770252123072e-178
3,0,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.6791186570921717,0.0
3,1,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.382324907886708,0.0
3,2,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.1259854917618073,3.713771409373151e-178
4,0,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.6791186570921717,0.0
4,1,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.3823249078867079,0.0
4,2,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.1259854917618073,3.713771409373978e-178
5,0,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.6791186570921716,0.0
5,1,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.38232490788670787,0.0
5,2,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.1259854917618073,3.713771409373978e-178
6,0,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.6791186570921715,0.0
6,1,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.38232490788670787,0.0
6,2,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.1259854917618073,3.7137714093739763e-178
7,0,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.6791186570921715,0.0
7,1,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.38232490788670775,0.0
7,2,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.12598549176180723,3.7137714093739763e-178
8,0,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.6791186570921715,0.0
8,1,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.38232490788670775,0.0
8,2,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.12598549176180723,3.713771409373975e-178
9,0,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.6791186570921715,0.0
9,1,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.38232490788670775,0.0
9,2,0.0873383218223026,1.0286972010701938e-05,11.638727901140635,-0.12598549176180723,3.713771409373975e-178
0,0,0.1220477193397777,1.0086627239775064e-05,11.63871368006476,0.6931471805599441,0.0
0,1,0.1220477193397777,1.0086627239775064e-05,11.63871368006476,0.9899409166847176,0.0
