beta,source_distribution,max_val,recorded_iters,recorded_remaining,fixed_point_residual,measured_remaining,contraction_ratio,rows_valid,meets_tolerance
0.0625,uniform,21,1528,9.927140942446523e-07,8.866603507387059e-09,9.407747515806115e-07,0.9910691108337337,True,True
0.08733832182230267,uniform,21,1168,9.896909909106042e-07,1.1968021999193511e-08,9.205088910353755e-07,0.9879134241386169,True,True
0.12204771933977775,uniform,21,1139,9.963142324871397e-07,1.3155034021961518e-08,9.201607368041031e-07,0.986799238917298,True,True
0.17055108783000925,uniform,21,4576,9.985303517868861e-07,2.899558951153088e-09,9.814136950217809e-07,0.997096629715085,True,True
0.23833033273665855,uniform,21,17438,9.996673796436801e-07,6.090436627105417e-10,9.95816031364901e-07,0.9993906293824383,True,True
0.333045940809132,uniform,21,54933,9.998926017711169e-07,2.489429775901988e-10,9.991652584337032e-07,0.9997512206843552,True,True
0.4654027769599926,uniform,21,132493,9.9582919484366e-07,8.264102672956438e-11,1.0033544015228155e-06,0.9999176751305471,True,False
0.6503599601780028,uniform,21,108569,9.984569720796537e-07,1.1398286155093616e-10,1.0146798712934155e-06,0.9998877421780972,True,False
0.9088215600378616,uniform,21,880449,9.275818473465333e-07,1.8856136896246457e-11,inf,1.0000246146784249,True,False
1.2699991982341428,uniform,21,959532,9.889597843334252e-07,1.4610098157744393e-11,inf,1.0000119526953182,True,False
1.774713579031038,uniform,21,2955424,9.913662733614799e-07,1.2623794180777808e-11,9.885093442656155e-07,0.9999872300124502,True,True
2.4800080913251747,uniform,21,2500475,9.383676282759648e-07,1.2023488161842913e-11,8.332289205897366e-07,0.9999855707088575,True,True
3.465595916833162,uniform,21,3046238,9.302268694495906e-07,1.354461031097567e-11,1.229984735575794e-06,0.999988988318349,True,False
4.842869303846925,uniform,21,3931584,9.821621209315036e-07,1.280979619087489e-11,inf,1.0000044113495135,True,False
6.767489244843735,uniform,21,2593551,9.743940061719193e-07,1.1410051541068025e-11,inf,1.0000008227399222,True,False
9.45697845752215,uniform,21,803313,9.638018367604745e-07,1.484838515892768e-11,2.3762778988222422e-05,0.9999993751630721,True,False
13.215306047834442,uniform,21,1207131,9.98996718655736e-07,1.7685435295294264e-11,9.852168452802183e-07,0.9999820502299537,True,True
18.4672424413758,uniform,21,268586,9.908371045213518e-07,4.2663817659633226e-11,1.0549993345760017e-06,0.9999595702966563,True,False
25.806367416245845,uniform,21,207965,9.975195460798188e-07,4.5526959757035114e-11,1.0519630728109688e-06,0.9999567331977807,True,False
36.062157159434626,uniform,21,493742,9.991099779881344e-07,2.0853063553574245e-11,8.802418022792433e-07,0.9999763125235045,True,True
50.393732601554504,uniform,21,498644,8.604530708932456e-07,2.0473740638147362e-11,2.1026055587739806e-06,0.9999902632943297,True,False
70.42086457250619,uniform,21,106426,9.928194026960505e-07,5.733661134349009e-11,1.0568382270869325e-06,0.9999457647776916,True,False
98.40704212861337,uniform,21,18440,9.998349815485526e-07,6.122512430460228e-10,9.964148702978132e-07,0.9993877998562407,True,True
137.51529464015564,uniform,21,30703,9.998016897515448e-07,3.035894602726199e-10,9.976819496875195e-07,0.999696259049663,True,True
192.1656809403309,uniform,21,3820,9.990898976705676e-07,2.411885101843773e-09,9.846994326644403e-07,0.9975859017974491,True,True
268.5348493626968,uniform,21,3241,9.976321104765733e-07,2.8755961210365747e-09,9.805176695344649e-07,0.9971176231639401,True,True
375.25412950628476,uniform,21,356,9.920925128387684e-07,3.177419213003575e-08,8.160784514422073e-07,0.9679726464482087,True,True
524.3850548474869,uniform,21,62,8.327549830195956e-07,1.52205515245239e-07,2.48069220593471e-07,0.8172267118784762,True,True
732.78257086521,uniform,21,23,5.928609047619177e-07,2.5307067919769553e-07,2.1014767660141042e-08,0.5731410432966906,True,True
1024.0,uniform,21,12,6.5052350764176e-07,4.008078753363671e-07,2.090024803138085e-09,0.38411387863443147,True,True
